transaction_id,deterministic_invoice,deterministic_decision,deterministic_score,expected_invoice,correct,ai_decision,ai_invoice,ai_confidence,ai_risk,ai_reason
B0237,INV0237,MATCHED,100.0,INV0237,True,,,,,
B0208,INV0208,MATCHED,100.0,INV0208,True,,,,,
B0213,INV0213,MATCHED,100.0,INV0213,True,,,,,
B0296,INV0296,MATCHED,100.0,INV0296,True,,,,,
B0458,INV0458,MATCHED,100.0,INV0458,True,,,,,
B0252,INV0252,MATCHED,100.0,INV0252,True,,,,,
B0489,INV0489,MATCHED,100.0,INV0489,True,,,,,
B0487,INV0487,MATCHED,100.0,INV0487,True,,,,,
B0304,INV0304,MATCHED,100.0,INV0304,True,,,,,
B0351,INV0351,MATCHED,100.0,INV0351,True,,,,,
B0270,INV0270,MATCHED,100.0,INV0270,True,,,,,
B0202,INV0202,MATCHED,100.0,INV0202,True,,,,,
B0162,INV0162,MATCHED,100.0,INV0162,True,,,,,
B0044,INV0443,WARNING,70.0,INV0044,False,REVIEW,,50.0,MEDIUM,"The transaction does not have exact reference, amount, date, or vendor match with any provided ERP candidates. There is a material amount difference (₹22,000 vs ₹22,050)."
B0218,INV0218,MATCHED,100.0,INV0218,True,,,,,
B0402,INV0402,MATCHED,100.0,INV0402,True,,,,,
B0191,INV0041,WARNING,70.0,INV0191,False,REVIEW,,0.0,LOW,The transaction does not match any provided ERP candidate based on the provided evidence.
B0310,INV0310,MATCHED,100.0,INV0310,True,,,,,
B0260,INV0260,MATCHED,100.0,INV0260,True,,,,,
B0106,INV0106,MATCHED,100.0,INV0106,True,,,,,
B0054,INV0054,MATCHED,100.0,INV0054,True,,,,,
B0390,INV0390,MATCHED,100.0,INV0390,True,,,,,
B0002,INV0002,MATCHED,100.0,INV0002,True,,,,,
B0442,INV0442,MATCHED,100.0,INV0442,True,,,,,
B0483,INV0483,MATCHED,100.0,INV0483,True,,,,,
B0050,INV0050,MATCHED,100.0,INV0050,True,,,,,
B0420,INV0420,MATCHED,100.0,INV0420,True,,,,,
B0081,INV0081,MATCHED,100.0,INV0081,True,,,,,
B0206,INV0206,MATCHED,100.0,INV0206,True,,,,,
B0035,INV0035,MATCHED,100.0,INV0035,True,,,,,
B0264,INV0264,MATCHED,100.0,INV0264,True,,,,,
B0428,INV0428,MATCHED,100.0,INV0428,True,,,,,
B0367,INV0367,MATCHED,100.0,INV0367,True,,,,,
B0092,INV0092,MATCHED,100.0,INV0092,True,,,,,
B0340,INV0340,MATCHED,100.0,INV0340,True,,,,,
B0474,INV0474,MATCHED,100.0,INV0474,True,,,,,
B0053,INV0374,WARNING,70.0,INV0053,False,REVIEW,,50.0,LOW,"The transaction matches the ERP candidate on reference, amount, and date, but there is no strong vendor similarity."
B0346,INV0346,MATCHED,100.0,INV0346,True,,,,,
B0265,INV0265,MATCHED,100.0,INV0265,True,,,,,
B0242,INV0242,MATCHED,100.0,INV0242,True,,,,,
B0014,INV0014,MATCHED,100.0,INV0014,True,,,,,
B0316,INV0316,MATCHED,100.0,INV0316,True,,,,,
B0089,INV0097,WARNING,70.0,INV0089,False,MATCH,INV0097,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0388,INV0388,MATCHED,100.0,INV0388,True,,,,,
B0274,INV0274,MATCHED,100.0,INV0274,True,,,,,
B0167,INV0167,MATCHED,100.0,INV0167,True,,,,,
B0329,INV0329,MATCHED,100.0,INV0329,True,,,,,
B0493,INV0493,MATCHED,100.0,INV0493,True,,,,,
B0135,INV0135,MATCHED,100.0,INV0135,True,,,,,
B0307,INV0307,MATCHED,100.0,INV0307,True,,,,,
B0481,INV0481,MATCHED,100.0,INV0481,True,,,,,
B0320,INV0320,MATCHED,100.0,INV0320,True,,,,,
B0244,INV0244,MATCHED,100.0,INV0244,True,,,,,
B0055,INV0055,MATCHED,100.0,INV0055,True,,,,,
B0364,INV0364,MATCHED,100.0,INV0364,True,,,,,
B0051,INV0051,MATCHED,100.0,INV0051,True,,,,,
B0457,INV0457,MATCHED,100.0,INV0457,True,,,,,
B0175,INV0175,MATCHED,100.0,INV0175,True,,,,,
B0446,INV0446,MATCHED,100.0,INV0446,True,,,,,
B0190,INV0190,MATCHED,100.0,INV0190,True,,,,,
B0497,INV0497,MATCHED,100.0,INV0497,True,,,,,
B0188,INV0188,MATCHED,100.0,INV0188,True,,,,,
B0170,INV0170,MATCHED,100.0,INV0170,True,,,,,
B0059,INV0059,MATCHED,100.0,INV0059,True,,,,,
B0049,INV0049,MATCHED,100.0,INV0049,True,,,,,
B0345,INV0345,MATCHED,100.0,INV0345,True,,,,,
B0236,INV0236,MATCHED,100.0,INV0236,True,,,,,
B0253,INV0253,MATCHED,100.0,INV0253,True,,,,,
B0022,INV0022,MATCHED,100.0,INV0022,True,,,,,
B0314,INV0314,MATCHED,100.0,INV0314,True,,,,,
B0460,INV0460,MATCHED,100.0,INV0460,True,,,,,
B0161,INV0161,MATCHED,100.0,INV0161,True,,,,,
B0277,INV0277,MATCHED,100.0,INV0277,True,,,,,
B0444,INV0444,MATCHED,100.0,INV0444,True,,,,,
B0192,INV0192,MATCHED,100.0,INV0192,True,,,,,
B0386,INV0386,MATCHED,100.0,INV0386,True,,,,,
B0294,INV0294,MATCHED,100.0,INV0294,True,,,,,
B0414,INV0414,MATCHED,100.0,INV0414,True,,,,,
B0344,INV0344,MATCHED,100.0,INV0344,True,,,,,
B0258,INV0258,MATCHED,100.0,INV0258,True,,,,,
B0309,INV0309,MATCHED,100.0,INV0309,True,,,,,
B0150,INV0150,MATCHED,100.0,INV0150,True,,,,,
B0131,INV0131,MATCHED,100.0,INV0131,True,,,,,
B0152,INV0152,MATCHED,100.0,INV0152,True,,,,,
B0360,INV0360,MATCHED,100.0,INV0360,True,,,,,
B0100,INV0100,MATCHED,100.0,INV0100,True,,,,,
B0373,INV0373,MATCHED,100.0,INV0373,True,,,,,
B0088,INV0088,MATCHED,100.0,INV0088,True,,,,,
B0459,INV0459,MATCHED,100.0,INV0459,True,,,,,
B0331,,EXCEPTION,64.16666666666666,INV0331,False,MATCH,INV0001,95.0,LOW,"The transaction matches the ERP candidate on reference, amount, date and vendor."
B0215,INV0215,MATCHED,100.0,INV0215,True,,,,,
B0467,INV0467,MATCHED,100.0,INV0467,True,,,,,
B0122,INV0122,MATCHED,100.0,INV0122,True,,,,,
B0500,INV0500,MATCHED,100.0,INV0500,True,,,,,
B0021,INV0185,WARNING,70.0,INV0021,False,REVIEW,,50.0,MEDIUM,The transaction does not match any provided ERP candidate due to material amount discrepancy and conflicting evidence.
B0189,INV0189,MATCHED,100.0,INV0189,True,,,,,
B0072,INV0072,MATCHED,100.0,INV0072,True,,,,,
B0107,INV0107,MATCHED,100.0,INV0107,True,,,,,
B0271,INV0271,MATCHED,100.0,INV0271,True,,,,,
B0349,INV0349,MATCHED,100.0,INV0349,True,,,,,
B0436,INV0436,MATCHED,100.0,INV0436,True,,,,,
B0103,INV0103,MATCHED,100.0,INV0103,True,,,,,
